Reading data .................
Total tokens: 17005207
Vocabulary size: 71290
0.80 loss = 2.198, wps = 44747
0.90 loss = 2.200, wps = 44094
Epoch: 30, Loss = 2.199, 
Reading data .................
Total tokens: 17005207
Vocabulary size: 71290
0.00 loss = 4.152, wps = 14832
0.10 loss = 3.104, wps = 48291
0.20 loss = 2.803, wps = 47963
0.30 loss = 2.659, wps = 46665
0.40 loss = 2.579, wps = 45383
0.50 loss = 2.519, wps = 48334
0.60 loss = 2.474, wps = 45723
0.70 loss = 2.440, wps = 44618
0.80 loss = 2.409, wps = 45263
0.90 loss = 2.389, wps = 46097
Epoch: 1, Loss = 2.368, 
0.00 loss = 2.203, wps = 26794
0.10 loss = 2.156, wps = 44528
0.20 loss = 2.147, wps = 45022
0.30 loss = 2.129, wps = 44509
0.40 loss = 2.128, wps = 44457
0.50 loss = 2.123, wps = 45526
0.60 loss = 2.120, wps = 44590
0.70 loss = 2.117, wps = 44545
0.80 loss = 2.111, wps = 44386
0.90 loss = 2.111, wps = 44490
Epoch: 2, Loss = 2.108, 
0.00 loss = 2.089, wps = 37190
0.10 loss = 2.071, wps = 44265
0.20 loss = 2.068, wps = 44627
0.30 loss = 2.056, wps = 44872
0.40 loss = 2.057, wps = 44863
0.50 loss = 2.055, wps = 44229
0.60 loss = 2.053, wps = 44352
0.70 loss = 2.052, wps = 44374
0.80 loss = 2.049, wps = 44750
0.90 loss = 2.050, wps = 44709
Epoch: 3, Loss = 2.048, 
0.00 loss = 2.046, wps = 39690
0.10 loss = 2.027, wps = 44873
0.20 loss = 2.026, wps = 44787
0.30 loss = 2.015, wps = 45164
0.40 loss = 2.017, wps = 44637
0.50 loss = 2.016, wps = 44659
0.60 loss = 2.015, wps = 44532
0.70 loss = 2.015, wps = 44229
0.80 loss = 2.012, wps = 45562
0.90 loss = 2.014, wps = 45321
Epoch: 4, Loss = 2.012, 
0.00 loss = 2.014, wps = 42993
0.10 loss = 1.998, wps = 44501
0.20 loss = 1.998, wps = 44089
